Date,PRCP_in,Temp_Min,Temp_Avg,Temp_Max,DewPtAvg,vpdmin (hPa),vpdmax (hPa),ALLSKY_SFC_SW_DWN,WS2M,WindSpeed_Avg,HDD,CDD,Humidity_per,Pressure_in
7/9/2024,0.29,63,72.7,87,56.4,1.35,19.23,8.16,2.1,12.6,0,3,60.8,25.8
7/10/2024,0.45,64,75.3,88,57.7,1.9,30.85,8.1,2.59,6.8,0,7,58,25.8
7/11/2024,0,65,78.9,92,53.2,3.58,30.57,8.04,2.88,7.8,0,9,45.1,25.8
7/12/2024,0,68,81.8,95,48.6,6.14,38.96,8.27,4.48,10.1,0,12,34.5,25.8
7/13/2024,0,66,80.2,94,49.8,7.42,44.35,8.23,4.48,8,0,13,38,25.8
7/14/2024,0,68,82,97,53.3,7.29,43.76,8.15,4.48,7.9,0,14,41,25.8
7/15/2024,0,69,82.8,98,51.7,7.45,46.22,8.08,2.95,7,0,14,37.3,25.7
7/16/2024,0,69,83.9,98,49.9,8.61,49.2,7.98,3.21,9.4,0,16,34.4,25.7
7/17/2024,0.04,67,77.8,91,58.5,4.45,50.16,7.6,2.82,10,0,19,55.9,25.8
7/18/2024,0,67,74.5,89,60.8,2.21,34.27,7.05,2.63,8.6,0,13,64.9,25.8
7/19/2024,0,65,80.4,91,57.1,2.39,28.36,7.95,2.86,12.4,0,10,48.6,25.8
7/20/2024,0,68,79.7,89,56.6,3.49,34.08,6.97,2.16,8.7,0,12,47.7,25.8
7/21/2024,0,64,70.7,86,59.7,4.12,30.47,5.47,3.22,11.2,0,13,71,25.8
7/22/2024,0.32,62,69.3,78,58.9,1.15,26.15,6.11,2.62,6.3,0,8,71.5,25.8
7/23/2024,0.07,64,73.8,88,57.7,1.55,16.47,7.34,1.82,5.8,0,4,61.8,25.8
7/24/2024,0,64,77.3,90,54.8,2.3,31.33,8.03,1.84,5,0,8,49.9,25.8
7/25/2024,0,63,79.1,92,53.4,2.58,35.51,8.04,2.12,5.7,0,10,43.5,25.8
7/26/2024,0,63,81.6,95,51.8,3.55,38.85,7.93,3.95,11.3,0,11,41,25.7
7/27/2024,0,65,82.9,95,50.4,3.88,41.61,7.85,4.12,13.7,0,12,35.1,25.6
7/28/2024,0,68,83.7,99,55,5.22,42.75,7.81,4.11,12.5,0,13,39.9,25.6
7/29/2024,0,69,85.3,102,56.2,7.36,45.49,7.72,3.43,10,0,15,39.9,25.6
7/30/2024,0,71,86.5,102,56.2,6.33,51.28,7.74,3.04,8.9,0,18,41.3,25.6
7/31/2024,0,73,87.1,104,57,7.4,57.08,7.2,3.8,9,0,20,40,25.6
8/1/2024,0,74,84.5,102,53,10.33,58.37,7.45,2.95,11.1,0,20,34,25.8
8/2/2024,0,67,81.5,94,57.7,6.04,55.72,7.29,1.88,10.6,0,17,47,25.9
8/3/2024,0.08,68,80,92,60,4.45,38.46,7.11,2.88,10.8,0,15,56,25.8
8/4/2024,0.1,66,77.5,91,57.2,3.47,34.88,7.01,2.87,8.5,0,13,53,25.8
8/5/2024,0,65,75.5,95,50.2,4.28,33.2,7.91,2.45,6.7,0,11,41,25.8
8/6/2024,0,67,77,97,48.9,5.64,45.29,7.83,1.51,6.5,0,12,34,25.8
8/7/2024,0,73,81,102,40.9,9.39,47.37,7.88,2.87,8,0,16,23,25.7
8/8/2024,0,68,81,97,46.6,12.04,59.78,7.62,3.42,12.3,0,16,29,25.7
8/9/2024,0.1,66,77.5,85,62.4,2.9,46.75,5.28,3.88,14,0,13,71,25.8
8/10/2024,0,67,72.5,95,54.8,1.7,21.99,7.01,3.96,13.9,0,8,49,25.8
8/11/2024,0,73,79.5,101,49.8,3.64,43.28,7.47,3.71,11.9,0,15,29,25.7
8/12/2024,0,71,83,101,50.2,10.98,55.04,6.88,4.48,10,0,18,31,25.7
8/13/2024,0,71,80.5,99,49.2,10.06,53.59,7.42,3.99,12.2,0,16,28,25.7
8/14/2024,0,72,81,97,51.9,9.77,50.41,6.4,2.8,8.4,0,16,35,25.7
8/15/2024,0,69,82.5,102,49.8,8.03,47.41,7.52,2.35,10.2,0,18,34,25.7
8/16/2024,0,70,80.5,103,49.8,9.66,60.31,6.78,2.77,12.9,0,16,33,25.7
