-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2024 through 08/31/2024 
Location: Latitude  34.3898   Longitude -103.3183 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1299.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,T2M_MAX,T2M_MIN,T2M,T2MDEW,T2MWET,TS,T2M_RANGE
2024,7,1,7.75,4.63,37.55,21.87,29.76,14.21,21.99,31.66,15.67
2024,7,2,7.27,3.54,38.81,22.29,30.95,13.52,22.24,33.15,16.52
2024,7,3,7.07,3.75,33.47,24.62,28.37,15.15,21.76,29.42,8.85
2024,7,4,8.19,3.71,38.28,22.82,29.93,14.31,22.12,32.6,15.45
2024,7,5,5.59,3.34,30.49,19.74,24.4,15.4,19.9,27.12,10.75
2024,7,6,8.12,3.32,33.64,17.03,25.97,13.76,19.87,28.24,16.61
2024,7,7,8.18,4.48,34.26,20.7,27.41,11.94,19.67,29.69,13.55
2024,7,8,6.69,2.88,26.59,18.98,22.23,14.87,18.55,23.9,7.62
2024,7,9,8.16,2.1,33.08,17.52,25.56,11.55,18.56,28.07,15.55
2024,7,10,8.1,2.59,34.74,18.05,26.8,10.26,18.52,29.12,16.69
2024,7,11,8.04,2.88,36.11,19.69,28.3,7.66,17.98,30.3,16.41
2024,7,12,8.27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2024,7,13,8.23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2024,7,14,8.15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2024,7,15,8.08,2.95,39.69,21.34,31.05,7.75,19.4,33.15,18.35
2024,7,16,7.98,3.21,39.1,22.15,30.65,7.33,18.99,32.76,16.95
2024,7,17,7.6,2.82,35.18,22.23,28.26,11.91,20.08,30.76,12.95
2024,7,18,7.05,2.63,32.45,20.52,26.55,13.7,20.12,29.05,11.93
2024,7,19,7.95,2.86,35.72,19.44,27.89,11.57,19.73,30.19,16.27
2024,7,20,6.97,2.16,33.9,20.5,27.62,11.86,19.74,30.48,13.4
2024,7,21,5.47,3.22,30.43,20.24,25.29,12.05,18.67,27.47,10.19
2024,7,22,6.11,2.62,25.15,17.44,20.4,14.35,17.38,21.84,7.72
2024,7,23,7.34,1.82,31.27,15.86,23.94,12.48,18.21,25.99,15.41
2024,7,24,8.03,1.84,34.16,17.52,25.87,10.7,18.29,27.82,16.63
2024,7,25,8.04,2.12,35.04,17.72,26.64,10.12,18.37,28.76,17.32
2024,7,26,7.93,3.95,35.9,18.94,27.44,10.47,18.96,28.98,16.97
2024,7,27,7.85,4.12,35.16,19.25,27.35,9.69,18.52,28.83,15.91
2024,7,28,7.81,4.11,38.02,20.03,29.09,11.26,20.18,30.74,17.99
2024,7,29,7.72,3.43,39.62,22.22,30.63,12.73,21.68,32.65,17.4
2024,7,30,7.74,3.04,39.84,22.77,31.54,13.7,22.62,33.67,17.06
2024,7,31,7.2,3.8,40.84,25.29,32.65,12.51,22.58,34.37,15.55
2024,8,1,7.45,2.95,39.88,24.0,31.69,12.87,22.28,33.61,15.88
2024,8,2,7.29,1.88,38.04,22.88,30.26,11.95,21.11,33.07,15.16
2024,8,3,7.11,2.88,36.4,21.58,28.8,12.2,20.51,30.93,14.82
2024,8,4,7.01,2.87,35.62,21.48,28.49,10.0,19.25,30.86,14.14
2024,8,5,7.91,2.45,36.57,19.54,28.05,7.85,17.94,30.49,17.03
2024,8,6,7.83,1.51,38.15,20.01,29.28,6.48,17.87,31.87,18.15
2024,8,7,7.88,2.87,39.42,21.83,30.75,5.33,18.04,32.76,17.59
2024,8,8,7.62,3.42,39.02,21.69,30.08,8.58,19.33,32.58,17.33
2024,8,9,5.28,3.88,32.44,19.94,26.15,15.96,21.06,28.29,12.5
2024,8,10,7.01,3.96,35.4,19.36,27.93,12.9,20.42,29.82,16.03
2024,8,11,7.47,3.71,39.09,22.8,30.75,11.54,21.15,32.54,16.29
2024,8,12,6.88,4.48,37.64,23.94,30.49,11.07,20.78,31.87,13.7
2024,8,13,7.42,3.99,37.17,21.15,29.61,10.64,20.12,31.33,16.02
2024,8,14,6.4,2.8,37.29,23.62,30.24,11.37,20.81,32.4,13.67
2024,8,15,7.52,2.35,37.5,22.35,29.65,9.74,19.69,31.97,15.15
2024,8,16,6.78,2.77,40.09,23.12,31.3,10.49,20.9,33.3,16.98
2024,8,17,7.24,3.3,39.28,23.19,31.21,10.73,20.97,33.28,16.09
2024,8,18,7.44,3.31,38.3,23.0,30.53,9.71,20.12,32.37,15.3
2024,8,19,7.43,2.8,38.54,22.36,30.06,7.12,18.59,32.01,16.19
2024,8,20,7.49,2.95,38.66,21.38,30.12,6.6,18.36,32.12,17.27
2024,8,21,7.25,3.09,40.12,22.92,31.26,5.96,18.62,33.03,17.2
2024,8,22,6.81,3.12,40.5,22.46,31.83,6.19,19.01,33.76,18.04
2024,8,23,6.91,3.66,39.59,22.95,31.4,6.87,19.14,32.94,16.64
2024,8,24,6.45,3.78,38.8,23.21,30.91,8.72,19.82,32.46,15.59
2024,8,25,5.76,3.98,38.56,22.82,30.2,10.16,20.18,31.98,15.74
2024,8,26,5.15,2.74,34.91,20.84,27.92,11.26,19.59,29.85,14.06
2024,8,27,6.28,1.91,34.55,19.65,27.17,10.07,18.62,29.89,14.91
2024,8,28,6.53,2.73,35.28,19.23,27.72,10.02,18.87,30.25,16.05
2024,8,29,5.07,2.96,32.21,21.29,26.4,13.34,19.87,27.83,10.91
2024,8,30,3.05,2.48,28.34,18.19,23.11,13.87,18.48,24.84,10.15
2024,8,31,6.63,1.52,31.03,15.96,23.22,10.49,16.85,25.53,15.07
