PRISM Time Series Data
Location:  Lat: 34.3898   Lon: -103.3183   Elev: 4295ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2024-07-01 - 2024-08-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Sep-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2024-07-01,0.00,67.9,81.3,94.7,57.4,5.71,42.20
2024-07-02,0.00,70.2,83.5,96.9,60.2,7.37,43.97
2024-07-03,0.02,73.0,85.1,97.2,59.6,9.95,45.12
2024-07-04,0.00,68.7,80.9,93.2,60.2,5.64,36.40
2024-07-05,0.00,67.6,81.5,95.3,60.0,3.56,41.03
2024-07-06,0.00,62.4,72.7,83.0,61.3,0.99,21.44
2024-07-07,0.00,65.0,78.8,92.7,58.4,3.37,39.44
2024-07-08,2.25,59.7,76.7,93.8,58.4,1.10,38.33
2024-07-09,0.18,58.6,69.0,79.4,57.8,1.35,19.23
2024-07-10,0.44,62.3,75.0,87.7,57.6,1.90,30.85
2024-07-11,0.00,64.0,76.3,88.5,58.5,3.58,30.57
2024-07-12,0.00,65.7,78.9,92.0,53.0,6.14,38.96
2024-07-13,0.00,64.5,79.6,94.8,50.8,7.42,44.35
2024-07-14,0.00,66.2,80.3,94.4,51.8,7.29,43.76
2024-07-15,0.00,67.1,81.8,96.6,54.9,7.45,46.22
2024-07-16,0.00,68.1,83.1,98.0,53.4,8.61,49.20
2024-07-17,0.01,67.2,82.6,97.9,53.4,4.45,50.16
2024-07-18,0.02,65.9,78.5,91.1,60.0,2.21,34.27
2024-07-19,0.00,64.4,76.2,88.1,61.7,2.39,28.36
2024-07-20,0.06,66.0,78.5,91.0,59.8,3.49,34.08
2024-07-21,0.00,67.0,78.1,89.2,59.5,4.12,30.47
2024-07-22,0.48,61.5,73.2,85.0,60.4,1.15,26.15
2024-07-23,0.38,61.7,70.1,78.4,59.9,1.55,16.47
2024-07-24,0.00,62.1,74.7,87.4,59.2,2.30,31.33
2024-07-25,0.00,62.3,76.3,90.4,57.3,2.58,35.51
2024-07-26,0.00,62.0,76.8,91.6,55.4,3.55,38.85
2024-07-27,0.00,62.1,78.0,93.9,55.3,3.88,41.61
2024-07-28,0.00,64.2,79.0,93.8,54.5,5.22,42.75
2024-07-29,0.00,68.3,82.8,97.4,58.5,7.36,45.49
2024-07-30,0.00,69.9,85.3,100.7,60.1,6.33,51.28
2024-07-31,0.00,71.3,86.4,101.5,59.9,7.40,57.08
2024-08-01,0.00,73.1,87.9,102.7,59.2,10.33,58.37
2024-08-02,0.00,66.7,83.9,101.1,57.5,6.04,55.72
2024-08-03,0.18,67.3,81.0,94.7,60.7,4.45,38.46
2024-08-04,0.07,65.7,78.9,92.1,61.2,3.47,34.88
2024-08-05,0.00,64.3,77.4,90.5,58.7,4.28,33.20
2024-08-06,0.00,65.5,79.9,94.3,52.3,5.64,45.29
2024-08-07,0.00,67.6,81.9,96.2,52.2,9.39,47.37
2024-08-08,0.00,66.5,83.8,101.1,45.4,12.04,59.78
2024-08-09,0.30,66.0,81.2,96.5,56.5,2.90,46.75
2024-08-10,0.03,66.0,75.6,85.2,62.6,1.70,21.99
2024-08-11,0.00,66.2,80.3,94.4,56.1,3.64,43.28
2024-08-12,0.00,70.3,85.4,100.4,54.0,10.98,55.04
2024-08-13,0.00,69.1,84.5,99.9,55.3,10.06,53.59
2024-08-14,0.00,69.7,83.6,97.5,55.1,9.77,50.41
2024-08-15,0.00,67.5,82.0,96.4,54.6,8.03,47.41
2024-08-16,0.00,68.4,84.5,100.7,53.5,9.66,60.31
2024-08-17,0.03,68.8,85.5,102.1,53.0,9.54,61.28
2024-08-18,0.44,68.9,84.1,99.2,55.1,8.17,51.33
2024-08-19,0.00,67.7,83.0,98.4,49.3,8.78,53.59
2024-08-20,0.00,68.2,83.2,98.1,48.5,12.09,52.79
2024-08-21,0.00,67.4,83.0,98.7,47.3,11.52,55.51
2024-08-22,0.00,70.6,85.5,100.4,45.1,14.45,56.90
2024-08-23,0.00,70.7,87.1,103.5,46.5,15.19,64.06
2024-08-24,0.00,71.1,86.5,102.0,49.2,13.78,61.17
2024-08-25,0.00,70.1,85.0,100.0,50.7,10.40,55.83
2024-08-26,0.00,67.2,82.9,98.6,53.2,8.11,52.71
2024-08-27,0.01,64.5,78.1,91.8,58.0,3.45,36.45
2024-08-28,0.00,64.3,78.0,91.6,52.1,4.69,39.68
2024-08-29,0.00,66.4,79.8,93.3,55.7,5.58,42.42
2024-08-30,0.76,63.6,76.2,88.8,61.0,1.75,30.67
2024-08-31,0.05,60.5,67.8,75.2,62.1,0.84,10.22
