Date,ETWind_mm_day,ETSolar_mm_day,ETTotal_mm_day,
7/9/2024,2.145891569,1.656220858,3.802112427,
7/10/2024,2.555110258,1.609624974,4.164735232,
7/11/2024,3.589462914,1.615009241,5.204472155,
7/12/2024,6.045827518,1.545541322,7.59136884,
7/13/2024,5.738540264,1.513692575,7.252232839,
7/14/2024,5.839683697,1.547665867,7.387349564,
7/15/2024,4.418358297,1.692253633,6.110611929,
7/16/2024,4.871464294,1.654657624,6.526121918,
7/17/2024,3.030257922,1.565332255,4.595590177,
7/18/2024,2.47589445,1.490890067,3.966784516,
7/19/2024,3.138122198,1.588554066,4.726676264,
7/20/2024,2.445847015,1.53949833,3.985345345,
7/21/2024,2.617826498,1.188052569,3.805879066,
7/22/2024,1.559046372,1.241590873,2.800637245,
7/23/2024,1.893399073,1.581418031,3.474817104,
7/24/2024,2.222067654,1.687380725,3.90944838,
7/25/2024,2.73035783,1.663272741,4.393630572,
7/26/2024,5.074115025,1.493090257,6.567205283,
7/27/2024,5.427858403,1.485498833,6.913357235,
7/28/2024,5.551286383,1.537942394,7.089228777,
7/29/2024,5.061532447,1.614504572,6.676037019,
7/30/2024,4.610785036,1.664922197,6.275707232,
7/31/2024,5.746231928,1.560426309,7.306658237,
8/1/2024,4.773964841,1.656124844,6.430089686,
8/2/2024,2.389669081,1.622707192,4.012376272,
8/3/2024,3.062246734,1.489292173,4.551538907,
8/4/2024,3.166291434,1.455702714,4.621994148,
8/5/2024,3.57955918,1.631514458,5.211073638,
8/6/2024,2.51044322,1.750169701,4.260612921,
8/7/2024,5.320404713,1.693521572,7.013926285,
8/8/2024,5.248531867,1.539234027,6.787765894,
8/9/2024,2.631950397,1.09762907,3.729579468,
8/10/2024,4.882776346,1.39456617,6.277342516,
8/11/2024,5.895622402,1.559221784,7.454844186,
8/12/2024,6.765972219,1.418919381,8.1848916,
8/13/2024,6.02200988,1.496348364,7.518358244,
8/14/2024,4.182684346,1.465291159,5.647975506,
8/15/2024,4.059633761,1.650373183,5.710006943,
8/16/2024,4.771325115,1.538110454,6.309435568,
,,,218.2478191,5.596097927
