Date,Temp_Max,Temp_Min,Temp_Avg,HDD,CDD,PRCP_in,DewPtAvg,Humidity_per,WindSpeed_Avg,Pressure_in
2024-07-09,87,63,72.7,0,3,0.29,56.4,60.8,12.6,25.8
2024-07-10,88,64,75.3,0,7,0.45,57.7,58.0,6.8,25.8
2024-07-11,92,65,78.9,0,9,0.00,53.2,45.1,7.8,25.8
2024-07-12,95,68,81.8,0,12,0.00,48.6,34.5,10.1,25.8
2024-07-13,94,66,80.2,0,13,0.00,49.8,38.0,8,25.8
2024-07-14,97,68,82.0,0,14,0.00,53.3,41.0,7.9,25.8
2024-07-15,98,69,82.8,0,14,0.00,51.7,37.3,7,25.7
2024-07-16,98,69,83.9,0,16,0.00,49.9,34.4,9.4,25.7
2024-07-17,91,67,77.8,0,19,0.04,58.5,55.9,10,25.8
2024-07-18,89,67,74.5,0,13,0.00,60.8,64.9,8.6,25.8
2024-07-19,91,65,80.4,0,10,0.00,57.1,48.6,12.4,25.8
2024-07-20,89,68,79.7,0,12,0.00,56.6,47.7,8.7,25.8
2024-07-21,86,64,70.7,0,13,0.00,59.7,71.0,11.2,25.8
2024-07-22,78,62,69.3,0,8,0.32,58.9,71.5,6.3,25.8
2024-07-23,88,64,73.8,0,4,0.07,57.7,61.8,5.8,25.8
2024-07-24,90,64,77.3,0,8,0.00,54.8,49.9,5,25.8
2024-07-25,92,63,79.1,0,10,0.00,53.4,43.5,5.7,25.8
2024-07-26,95,63,81.6,0,11,0.00,51.8,41.0,11.3,25.7
2024-07-27,95,65,82.9,0,12,0.00,50.4,35.1,13.7,25.6
2024-07-28,99,68,83.7,0,13,0.00,55.0,39.9,12.5,25.6
2024-07-29,102,69,85.3,0,15,0.00,56.2,39.9,10,25.6
2024-07-30,102,71,86.5,0,18,0.00,56.2,41.3,8.9,25.6
2024-07-31,104,73,87.1,0,20,0.00,57.0,40.0,9,25.6
2024-08-01,102,74,84.5,0,20,0.00,53.0,34,11.1,25.8
2024-08-02,94,67,81.5,0,17,0.00,57.7,47,10.6,25.9
2024-08-03,92,68,80.0,0,15,0.08,60.0,56,10.8,25.8
2024-08-04,91,66,77.5,0,13,0.10,57.2,53,8.5,25.8
2024-08-05,95,65,75.5,0,11,0.00,50.2,41,6.7,25.8
2024-08-06,97,67,77.0,0,12,0.00,48.9,34,6.5,25.8
2024-08-07,102,73,81.0,0,16,0.00,40.9,23,8,25.7
2024-08-08,97,68,81.0,0,16,0.00,46.6,29,12.3,25.7
2024-08-09,85,66,77.5,0,13,0.10,62.4,71,14,25.8
2024-08-10,95,67,72.5,0,8,0.00,54.8,49,13.9,25.8
2024-08-11,101,73,79.5,0,15,0.00,49.8,29,11.9,25.7
2024-08-12,101,71,83.0,0,18,0.00,50.2,31,10,25.7
2024-08-13,99,71,80.5,0,16,0.00,49.2,28,12.2,25.7
2024-08-14,97,72,81.0,0,16,0.00,51.9,35,8.4,25.7
2024-08-15,102,69,82.5,0,18,0.00,49.8,34,10.2,25.7
2024-08-16,103,70,80.5,0,16,0.00,49.8,33,12.9,25.7
